,name_x,searched_longitude,searched_latitude,number of bikes,name_y,location,rating,distance,review_count,price
125,ROTHE ABBEY,-6.30395,53.338776,35,Arthur's Pub,28 Thomas Street,4.3,1569.1752453046156,92,€€
126,ROTHE ABBEY,-6.30395,53.338776,35,Guinness Storehouse,St James's Gate,4.2,1206.9207887965829,1830,€€
127,ROTHE ABBEY,-6.30395,53.338776,35,Wuff,23 Benburb Street,4.4,1723.413472504287,132,€€
128,ROTHE ABBEY,-6.30395,53.338776,35,Phx Bistro,12 Ellis Quay,4.6,1737.2248256222676,64,€€
129,ROTHE ABBEY,-6.30395,53.338776,35,Nancy Hands Bar & Restaurant,30-32 Parkgate Street,3.9,1229.315661829079,97,€€
130,CITY QUAY,-6.246154,53.346637,30,The Boxty House,20-21 Temple Bar,4.3,1071.0616818150245,1231,€€€
131,CITY QUAY,-6.246154,53.346637,30,J2 Grill & Sushi,"Unit A, The Campshires",4.0,178.37387548647317,127,€€
132,CITY QUAY,-6.246154,53.346637,30,The Pig's Ear,4 Nassau Street,4.3,747.6278401032276,238,€€€
133,CITY QUAY,-6.246154,53.346637,30,The Old Mill Restaurant,14 Temple Bar Square,4.5,1114.6841291994897,229,€€
134,CITY QUAY,-6.246154,53.346637,30,IL Vicoletto,5 Crow Street,4.5,1193.9325856072678,131,€€€
135,CITY QUAY,-6.246154,53.346637,30,The Bank on College Green,20-22 College Green,4.4,1050.0344907156896,441,€€€
136,CITY QUAY,-6.246154,53.346637,30,Pichet,14-15 Trinity Street,4.3,1118.747854958577,116,€€€
137,CITY QUAY,-6.246154,53.346637,30,Featherblade,51B Dawson Street,4.4,982.8881778972066,122,€€
138,CITY QUAY,-6.246154,53.346637,30,Musashi IFSC,"Unit 2 , Burton Hall",4.2,357.45848967830267,53,€€
139,CITY QUAY,-6.246154,53.346637,30,F.X.Buckley,2 Crow Street,4.6,1197.4813100471704,120,€€€
140,CLONMEL STREET,-6.26298,53.336021,33,Las Tapas de Lola,12 Wexford Street,4.5,191.53564187411305,121,€€
141,CLONMEL STREET,-6.26298,53.336021,33,Camden Exchange,72-73 Camden Street,4.2,188.3791147494888,67,€€
142,CLONMEL STREET,-6.26298,53.336021,33,The Boxty House,20-21 Temple Bar,4.3,1079.6047557113393,1231,€€€
143,CLONMEL STREET,-6.26298,53.336021,33,Sophie's Bar,33 Harcourt Street,3.9,110.0366682662981,141,€€
144,CLONMEL STREET,-6.26298,53.336021,33,1900,59 Harcourt Street,4.0,192.69423052619956,36,€€
145,CLONMEL STREET,-6.26298,53.336021,33,Shanahan's On The Green,119 St. Stephens Green,4.4,272.57653554028707,77,€€€€
146,CLONMEL STREET,-6.26298,53.336021,33,Opium,26 Wexford Street,4.0,196.7997839651732,85,€€
147,CLONMEL STREET,-6.26298,53.336021,33,The Pig's Ear,4 Nassau Street,4.3,886.1747270122869,238,€€€
148,CLONMEL STREET,-6.26298,53.336021,33,Pickle Eating House and Bar,43 Camden Street,4.6,264.1841255353456,71,€€€
149,CLONMEL STREET,-6.26298,53.336021,33,Camden Kitchen,3A Camden Market,4.4,279.3133953992077,63,€€
150,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,Matt The Thresher,31 -32 Lower Pembroke Street,4.1,217.0059823080085,178,€€€
151,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,FX Buckley,1A Lower Pembroke St,4.3,236.6553993996193,95,€€€
152,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,The Boxty House,20-21 Temple Bar,4.3,1389.142508886802,1231,€€€
153,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,Brookwood,141 Baggot Street Lower,4.2,312.5353409045829,61,€€€
154,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,The Pig's Ear,4 Nassau Street,4.3,828.8731199551679,238,€€€
155,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,The Sussex,8/9 Sussex Terrace,4.7,431.41554464159566,53,€€€
156,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,Pearl Brasserie,20 Upper Merrion Street,4.5,385.56163100267946,74,€€€
157,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,Dax Restaurant,23 Upper Pembroke Street,4.6,235.3719180571165,32,€€€€
158,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,The Old Mill Restaurant,14 Temple Bar Square,4.5,1424.0346542674488,229,€€
159,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40,BANG Restaurant & Bar,11 Merrion Row,4.2,442.11272197598623,83,€€€
160,EARLSFORT TERRACE,-6.258503,53.334295,30,The Boxty House,20-21 Temple Bar,4.3,1294.026530185493,1231,€€€
161,EARLSFORT TERRACE,-6.258503,53.334295,30,The Pig's Ear,4 Nassau Street,4.3,924.154071537057,238,€€€
162,EARLSFORT TERRACE,-6.258503,53.334295,30,The Old Mill Restaurant,14 Temple Bar Square,4.5,1315.23762970336,229,€€
163,EARLSFORT TERRACE,-6.258503,53.334295,30,1900,59 Harcourt Street,4.0,288.3866014076221,36,€€
164,EARLSFORT TERRACE,-6.258503,53.334295,30,Dax Restaurant,23 Upper Pembroke Street,4.6,280.0639420686917,32,€€€€
165,EARLSFORT TERRACE,-6.258503,53.334295,30,IL Vicoletto,5 Crow Street,4.5,1187.5964185445098,131,€€€
166,EARLSFORT TERRACE,-6.258503,53.334295,30,Las Tapas de Lola,12 Wexford Street,4.5,545.3658543483469,121,€€
167,EARLSFORT TERRACE,-6.258503,53.334295,30,House,27 Lower Leeson Street,4.0,226.31112565396063,59,€€€
168,EARLSFORT TERRACE,-6.258503,53.334295,30,The Bank on College Green,20-22 College Green,4.4,1129.9247193284596,441,€€€
169,EARLSFORT TERRACE,-6.258503,53.334295,30,Featherblade,51B Dawson Street,4.4,818.3874775929925,122,€€
170,PEARSE STREET,-6.250427,53.344304,30,The Pig's Ear,4 Nassau Street,4.3,363.8633427387612,238,€€€
171,PEARSE STREET,-6.250427,53.344304,30,The Boxty House,20-21 Temple Bar,4.3,798.2356481009332,1231,€€€
172,PEARSE STREET,-6.250427,53.344304,30,Featherblade,51B Dawson Street,4.4,604.823672057477,122,€€
173,PEARSE STREET,-6.250427,53.344304,30,The Old Mill Restaurant,14 Temple Bar Square,4.5,844.6422763930484,229,€€
174,PEARSE STREET,-6.250427,53.344304,30,IL Vicoletto,5 Crow Street,4.5,886.6894331943753,131,€€€
175,PEARSE STREET,-6.250427,53.344304,30,The Bank on College Green,20-22 College Green,4.4,733.7408954696957,441,€€€
176,PEARSE STREET,-6.250427,53.344304,30,Pichet,14-15 Trinity Street,4.3,800.2364514639538,116,€€€
177,PEARSE STREET,-6.250427,53.344304,30,Darkey Kellys,Hotel Harding,4.6,1305.8613077536738,263,€€
178,PEARSE STREET,-6.250427,53.344304,30,F.X.Buckley,2 Crow Street,4.6,893.2736070201975,120,€€€
179,PEARSE STREET,-6.250427,53.344304,30,Bunsen,22 Essex Street E,4.5,945.2319731020236,215,€€
180,JAMES STREET EAST,-6.248109,53.336597,30,Matt The Thresher,31 -32 Lower Pembroke Street,4.1,231.19405768132697,178,€€€
181,JAMES STREET EAST,-6.248109,53.336597,30,FX Buckley,1A Lower Pembroke St,4.3,226.07939707490095,95,€€€
182,JAMES STREET EAST,-6.248109,53.336597,30,The Boxty House,20-21 Temple Bar,4.3,1380.584855686357,1231,€€€
183,JAMES STREET EAST,-6.248109,53.336597,30,The Pig's Ear,4 Nassau Street,4.3,772.7366932868979,238,€€€
184,JAMES STREET EAST,-6.248109,53.336597,30,Brookwood,141 Baggot Street Lower,4.2,335.12258193127604,61,€€€
