,name,location,rating,distance,review_count,price,searched_latitude,searched_longitude
140,Las Tapas de Lola,12 Wexford Street,4.5,191.53564187411303,121,€€,53.336021,-6.26298
141,Camden Exchange,72-73 Camden Street,4.2,188.37911474948882,67,€€,53.336021,-6.26298
142,The Boxty House,20-21 Temple Bar,4.3,1079.6047557113393,1231,€€€,53.336021,-6.26298
143,Sophie's Bar,33 Harcourt Street,3.9,110.0366682662981,141,€€,53.336021,-6.26298
144,1900,59 Harcourt Street,4.0,192.69423052619953,36,€€,53.336021,-6.26298
145,Shanahan's On The Green,119 St. Stephens Green,4.4,272.57653554028707,77,€€€€,53.336021,-6.26298
146,Opium,26 Wexford Street,4.0,196.79978396517322,85,€€,53.336021,-6.26298
147,The Pig's Ear,4 Nassau Street,4.3,886.1747270122869,238,€€€,53.336021,-6.26298
148,Pickle Eating House and Bar,43 Camden Street,4.6,264.1841255353456,71,€€€,53.336021,-6.26298
149,Camden Kitchen,3A Camden Market,4.4,279.3133953992077,63,€€,53.336021,-6.26298
150,Matt The Thresher,31 -32 Lower Pembroke Street,4.1,217.0059823080085,178,€€€,53.335211,-6.2509
151,FX Buckley,1A Lower Pembroke St,4.3,236.65539939961934,95,€€€,53.335211,-6.2509
152,The Boxty House,20-21 Temple Bar,4.3,1389.142508886802,1231,€€€,53.335211,-6.2509
153,Brookwood,141 Baggot Street Lower,4.2,312.5353409045829,61,€€€,53.335211,-6.2509
154,The Pig's Ear,4 Nassau Street,4.3,828.8731199551679,238,€€€,53.335211,-6.2509
155,The Sussex,8/9 Sussex Terrace,4.7,431.41554464159566,53,€€€,53.335211,-6.2509
156,Pearl Brasserie,20 Upper Merrion Street,4.5,385.56163100267946,74,€€€,53.335211,-6.2509
157,Dax Restaurant,23 Upper Pembroke Street,4.6,235.3719180571165,32,€€€€,53.335211,-6.2509
158,The Old Mill Restaurant,14 Temple Bar Square,4.5,1424.0346542674488,229,€€,53.335211,-6.2509
159,BANG Restaurant & Bar,11 Merrion Row,4.2,442.11272197598623,83,€€€,53.335211,-6.2509
160,The Boxty House,20-21 Temple Bar,4.3,1294.026530185493,1231,€€€,53.334295,-6.258503
161,The Pig's Ear,4 Nassau Street,4.3,924.154071537057,238,€€€,53.334295,-6.258503
162,The Old Mill Restaurant,14 Temple Bar Square,4.5,1315.23762970336,229,€€,53.334295,-6.258503
163,1900,59 Harcourt Street,4.0,288.38660140762215,36,€€,53.334295,-6.258503
164,Dax Restaurant,23 Upper Pembroke Street,4.6,280.0639420686917,32,€€€€,53.334295,-6.258503
165,IL Vicoletto,5 Crow Street,4.5,1187.5964185445098,131,€€€,53.334295,-6.258503
166,Las Tapas de Lola,12 Wexford Street,4.5,545.3658543483469,121,€€,53.334295,-6.258503
167,House,27 Lower Leeson Street,4.0,226.31112565396066,59,€€€,53.334295,-6.258503
168,The Bank on College Green,20-22 College Green,4.4,1129.9247193284596,441,€€€,53.334295,-6.258503
169,Featherblade,51B Dawson Street,4.4,818.3874775929925,122,€€,53.334295,-6.258503
170,The Pig's Ear,4 Nassau Street,4.3,363.86334273876116,238,€€€,53.344304,-6.250427
171,The Boxty House,20-21 Temple Bar,4.3,798.2356481009332,1231,€€€,53.344304,-6.250427
172,Featherblade,51B Dawson Street,4.4,604.823672057477,122,€€,53.344304,-6.250427
173,The Old Mill Restaurant,14 Temple Bar Square,4.5,844.6422763930484,229,€€,53.344304,-6.250427
174,IL Vicoletto,5 Crow Street,4.5,886.6894331943753,131,€€€,53.344304,-6.250427
175,The Bank on College Green,20-22 College Green,4.4,733.7408954696957,441,€€€,53.344304,-6.250427
176,Pichet,14-15 Trinity Street,4.3,800.2364514639538,116,€€€,53.344304,-6.250427
177,Darkey Kellys,Hotel Harding,4.6,1305.8613077536738,263,€€,53.344304,-6.250427
178,F.X.Buckley,2 Crow Street,4.6,893.2736070201975,120,€€€,53.344304,-6.250427
179,Bunsen,22 Essex Street E,4.5,945.2319731020235,215,€€,53.344304,-6.250427
180,Matt The Thresher,31 -32 Lower Pembroke Street,4.1,231.19405768132697,178,€€€,53.336597,-6.248109
181,FX Buckley,1A Lower Pembroke St,4.3,226.07939707490098,95,€€€,53.336597,-6.248109
182,The Boxty House,20-21 Temple Bar,4.3,1380.584855686357,1231,€€€,53.336597,-6.248109
183,The Pig's Ear,4 Nassau Street,4.3,772.7366932868979,238,€€€,53.336597,-6.248109
184,Brookwood,141 Baggot Street Lower,4.2,335.12258193127604,61,€€€,53.336597,-6.248109
185,Pearl Brasserie,20 Upper Merrion Street,4.5,391.8565489565855,74,€€€,53.336597,-6.248109
186,The Old Mill Restaurant,14 Temple Bar Square,4.5,1420.2223928008355,229,€€,53.336597,-6.248109
187,The Bank on College Green,20-22 College Green,4.4,1233.5553622040952,441,€€€,53.336597,-6.248109
188,IL Vicoletto,5 Crow Street,4.5,1361.8585501424734,131,€€€,53.336597,-6.248109
189,Searsons of Baggot Street,42-44 Upper Baggot Street,4.4,498.95118319559856,99,€€,53.336597,-6.248109
190,The Brazen Head,20 Bridge Street Lower,4.2,214.73065157907124,906,€€€,53.343105,-6.277167
191,The Boxty House,20-21 Temple Bar,4.3,1034.2203044013088,1231,€€€,53.343105,-6.277167
192,Darkey Kellys,Hotel Harding,4.6,478.4210445104313,263,€€,53.343105,-6.277167
193,The Old Mill Restaurant,14 Temple Bar Square,4.5,994.8893748977291,229,€€,53.343105,-6.277167
194,IL Vicoletto,5 Crow Street,4.5,902.1269651367966,131,€€€,53.343105,-6.277167
195,The Pig's Ear,4 Nassau Street,4.3,1490.209620767058,238,€€€,53.343105,-6.277167
196,The Bank on College Green,20-22 College Green,4.4,1049.8214332614568,441,€€€,53.343105,-6.277167
197,O'Sheas Merchant,12 Bridge Street Lower,4.3,233.1377284762478,69,€€,53.343105,-6.277167
198,L Mulligan Grocer,18 Stoneybatter,4.3,994.0274557511876,215,€€,53.343105,-6.277167
199,Bull & Castle,5-7 Lord Edward Street,4.1,460.09434492830366,294,€€€,53.343105,-6.277167
200,J2 Grill & Sushi,"Unit A, The Campshires",4.0,8.647837569993312,127,€€,53.347777,-6.244239
201,The Boxty House,20-21 Temple Bar,4.3,1215.0300116779504,1231,€€€,53.347777,-6.244239
202,Musashi IFSC,"Unit 2 , Burton Hall",4.2,188.84952410953898,53,€€,53.347777,-6.244239
203,The Pig's Ear,4 Nassau Street,4.3,926.6487864668187,238,€€€,53.347777,-6.244239
204,The Old Mill Restaurant,14 Temple Bar Square,4.5,1256.96086419839,229,€€,53.347777,-6.244239
205,The Bank on College Green,20-22 College Green,4.4,1208.0177969801457,441,€€€,53.347777,-6.244239
